url,scheme type,,url,scheme type,,url,scheme type,,url,scheme type
"Axis Large Cap Fund Direct Growth - NAV, Mutual Fund Performance & Portfolio",NAV,,https://groww.in/mutual-funds/axis-small-cap-fund-direct-growth,NAV,,https://groww.in/mutual-funds/axis-nifty-500-index-fund-direct-growth,NAV,,https://groww.in/mutual-funds/axis-elss-tax-saver-direct-plan-growth,NAV
"Axis Large Cap Fund Direct Growth - NAV, Mutual Fund Performance & Portfolio",MIN SIP,,https://groww.in/mutual-funds/axis-small-cap-fund-direct-growth,MIN SIP,,https://groww.in/mutual-funds/axis-nifty-500-index-fund-direct-growth,MIN SIP,,https://groww.in/mutual-funds/axis-elss-tax-saver-direct-plan-growth,MIN SIP
"Axis Large Cap Fund Direct Growth - NAV, Mutual Fund Performance & Portfolio",expense ratio ,,https://groww.in/mutual-funds/axis-small-cap-fund-direct-growth,expense ratio ,,https://groww.in/mutual-funds/axis-nifty-500-index-fund-direct-growth,expense ratio ,,https://groww.in/mutual-funds/axis-elss-tax-saver-direct-plan-growth,expense ratio 
"Axis Large Cap Fund Direct Growth - NAV, Mutual Fund Performance & Portfolio",exit load,,https://groww.in/mutual-funds/axis-small-cap-fund-direct-growth,exit load,,https://groww.in/mutual-funds/axis-nifty-500-index-fund-direct-growth,exit load,,https://groww.in/mutual-funds/axis-elss-tax-saver-direct-plan-growth,exit load
Axis Large Cap Fund - Invest in Large Cap Mutual Fund,riskometer,,https://www.axismf.com/mutual-funds/equity-funds/axis-small-cap-fund/sc-dg/direct,riskometer,,https://www.axismf.com/mutual-funds/index-funds/axis-nifty-500-index-fund/nf-dg/direct,riskometer,,https://www.axismf.com/mutual-funds/equity-funds/axis-elss-tax-saver-fund/ts-dg/direct,riskometer
Axis Large Cap Fund - Invest in Large Cap Mutual Fund,benchmark,,https://www.axismf.com/mutual-funds/equity-funds/axis-small-cap-fund/sc-dg/direct,benchmark,,https://www.axismf.com/mutual-funds/index-funds/axis-nifty-500-index-fund/nf-dg/direct,benchmark,,https://www.axismf.com/mutual-funds/equity-funds/axis-elss-tax-saver-fund/ts-dg/direct,benchmark
Axis Large Cap Fund - Invest in Large Cap Mutual Fund,FAQs,,https://www.axismf.com/mutual-funds/equity-funds/axis-small-cap-fund/sc-dg/direct,FAQs,,https://www.axismf.com/mutual-funds/index-funds/axis-nifty-500-index-fund/nf-dg/direct,FAQs,,https://www.axismf.com/mutual-funds/equity-funds/axis-elss-tax-saver-fund/ts-dg/direct,FAQs
https://www.axismf.com///cms/sites/default/files/Statutory/KIM%20-%20Axis%20Large%20Cap%20Fund.pdf,KIM,,https://www.axismf.com///cms/sites/default/files/Statutory/KIM%20and%20Application%20Form%20-%20Axis%20Small%20Cap%20Fund.pdf,KIM,,https://www.axismf.com///cms/sites/default/files/Statutory/KIM%20-%20Axis%20Nifty%20500%20Index%20Fund.pdf,KIM,,https://www.axismf.com///cms/sites/default/files/Statutory/KIM%20and%20Application%20Form%20-%20Axis%20ELSS%20Tax%20Saver%20Fund.pdf,KIM
https://www.axismf.com///cms/sites/default/files/Statutory/Axis%20Large%20Cap%20Fund%20-%20SID.pdf,SID,,https://www.axismf.com///cms/sites/default/files/Statutory/Axis%20Small%20Cap%20Fund%20-%20SID.pdf,SID,,https://www.axismf.com///cms/sites/default/files/Statutory/SID%20-%20Axis%20Nifty%20500%20Index%20Fund.pdf,SID,,https://www.axismf.com///cms/sites/default/files/Statutory/Axis%20ELSS%20Tax%20Saver%20Fund%20-%20SID.pdf,SID
https://www.axismf.com///cms/sites/default/files/pdf-factsheets/20220727001-Axis%20Largecap%20Fund%20%28February_2026%29%20-%20DP.pdf,Leaflet,,https://www.axismf.com///cms/sites/default/files/pdf-factsheets/20190204018-Small%20Cap%20Fund%20%28February_2026%29%20DP-Leaflet.pdf,Leaflet,,https://www.axismf.com///cms/sites/default/files/pdf-factsheets/20200331001%20NIFTY%20500%20Fund%20%28February_2026%29%20DP%20-%20Leaflet.pdf,Leaflet,,https://www.axismf.com///cms/sites/default/files/pdf-factsheets/20220727001-%20Axis%20ELSS%20Tax%20Saver%20Fund%20%28February_2026%29%20-%20DP.pdf,Leaflet
